ball_id, ball_group, x_position, y_position, radius
338, None, 0.0212958, -0.0211036, 0.000515005
339, None, 0.0165179, -0.0344657, 0.000732215
340, None, 0.00512835, 0.00731314, 0.000681738
341, None, 0.0219848, -0.0383736, 0.000654933
342, None, 0.0211853, -0.0294428, 0.000571704
343, None, -0.017332, 0.0397918, 0.000627604
344, None, -0.00734416, 0.0203892, 0.000554356
345, None, 0.0159083, -0.00255714, 0.000519574
346, None, 0.00946282, 0.0337422, 0.000749941
347, None, 0.00451149, 0.0121115, 0.000603605
348, None, -0.0153438, -0.00367489, 0.000659875
349, None, 0.00741611, 0.0151671, 0.000628315
350, None, -0.00947966, -0.0162809, 0.000516838
351, None, 0.00403824, 0.029125, 0.000523214
352, None, -0.00315792, -0.0469656, 0.00054231
353, None, -0.0174439, 0.0429172, 0.00068522
354, None, 0.0168966, -0.0401452, 0.000666467
355, None, -0.00150529, -0.00400203, 0.000748768
356, None, 0.00776534, 0.0374273, 0.000611433
357, None, -0.0144702, 0.0145026, 0.000529829
358, None, 0.0211737, -0.0174709, 0.000682527
359, None, 9.62842e-05, -0.0321107, 0.000661344
360, None, 0.0164085, 0.00803588, 0.000666094
361, None, -0.0183147, 0.0225944, 0.000525231
362, None, -0.0143322, -0.012352, 0.000740584
363, None, 6.79735e-05, -0.00122735, 0.000548778
364, None, -0.00301183, 0.0139903, 0.000625363
365, None, -0.00157343, 0.0127301, 0.000749802
366, None, 0.0222612, -0.0299371, 0.000620491
367, None, -0.0166166, 0.0177238, 0.000602358
368, None, -0.0157199, -0.0209204, 0.000683189
369, None, 0.0180536, 0.00264016, 0.000554217
370, None, -0.00591764, 0.0049599, 0.000502697
371, None, -0.0221927, 0.00554349, 0.000532282
372, None, 0.0140377, 0.0251057, 0.00072291
373, None, -0.00619586, -0.0291852, 0.000746167
374, None, -0.0162422, -0.0444019, 0.000681705
375, None, -0.0183979, -0.037657, 0.000650516
376, None, -0.00522274, -0.0384559, 0.000744426
377, None, -0.000594239, 0.0339228, 0.000591107
378, None, 0.000605798, 0.0352709, 0.000582383
379, None, 0.0231623, -0.0220474, 0.000522047
380, None, -0.0079977, 0.0194351, 0.000635689
381, None, 0.0126356, 0.0199958, 0.000515698
382, None, 0.0223136, 0.00443861, 0.000506105
383, None, -0.0102132, -0.0181969, 0.000566434
384, None, -0.0127283, -0.0158406, 0.00064401
385, None, -0.00364849, 0.0313558, 0.000554624
386, None, -0.0207349, 0.038733, 0.000591507
387, None, -0.0244808, -0.041612, 0.000559549
388, None, 0.0140751, -0.0167925, 0.000697648
